id,title,author
77,Far from the Madding Crowd,Thomas Hardy
78,Jude the Obscure,Thomas Hardy
79,Sons and Lovers,D.H. Lawrence
80,Women in Love,D.H. Lawrence
81,Lady Chatterley's Lover,D.H. Lawrence
82,To the Lighthouse,Virginia Woolf
83,Mrs Dalloway,Virginia Woolf
84,Orlando,Virginia Woolf
85,A Portrait of the Artist as a Young Man,James Joyce
86,Dubliners,James Joyce
87,Finnegans Wake,James Joyce
88,Heart of a Dog,Mikhail Bulgakov
89,Doctor Zhivago,Boris Pasternak
90,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn
91,The Gulag Archipelago,Aleksandr Solzhenitsyn
92,Father and Sons,Ivan Turgenev
93,Anna Karenina,Leo Tolstoy
94,The Death of Ivan Ilyich,Leo Tolstoy
95,Resurrection,Leo Tolstoy
96,The Idiot,Fyodor Dostoevsky
97,Notes from Underground,Fyodor Dostoevsky
98,Demons,Fyodor Dostoevsky
99,Dead Souls,Nikolai Gogol
100,The Overcoat,Nikolai Gogol
101,The Inspector General,Nikolai Gogol
102,A Hero of Our Time,Mikhail Lermontov
103,Eugene Onegin,Alexander Pushkin
104,The Queen of Spades,Alexander Pushkin
105,The Charterhouse of Parma,Stendhal
106,The Red and the Black,Stendhal
107,Pere Goriot,Honoré de Balzac
108,Cousin Bette,Honoré de Balzac
109,Sentimental Education,Gustave Flaubert
110,Salammbô,Gustave Flaubert
111,Germinal,Émile Zola
112,Nana,Émile Zola
113,L'Assommoir,Émile Zola
114,Bel-Ami,Guy de Maupassant
115,A Woman's Life,Guy de Maupassant
116,The Hunchback of Notre-Dame,Victor Hugo
117,The Toilers of the Sea,Victor Hugo
118,The Three Musketeers,Alexandre Dumas
119,Twenty Years After,Alexandre Dumas
120,The Man in the Iron Mask,Alexandre Dumas
121,The Black Tulip,Alexandre Dumas
122,Cyrano de Bergerac,Edmond Rostand
123,Candide,Voltaire
124,Zadig,Voltaire
125,Rameau's Nephew,Denis Diderot
126,Jacques the Fatalist,Denis Diderot
127,Dangerous Liaisons,Pierre Choderlos de Laclos
128,The Sorrows of Young Werther,Johann Wolfgang von Goethe
129,Wilhelm Meister's Apprenticeship,Johann Wolfgang von Goethe
130,Faust,Johann Wolfgang von Goethe
131,The Magic Mountain,Thomas Mann
132,Death in Venice,Thomas Mann
133,Buddenbrooks,Thomas Mann
134,Doctor Faustus,Thomas Mann
135,Steppenwolf,Hermann Hesse
136,Siddhartha,Hermann Hesse
137,The Glass Bead Game,Hermann Hesse
138,Demian,Hermann Hesse
139,The Tin Drum,Günter Grass
140,Cat and Mouse,Günter Grass
141,Dog Years,Günter Grass
142,The Castle,Franz Kafka
143,Amerika,Franz Kafka
144,The Man Without Qualities,Robert Musil
145,The Confusions of Young Törless,Robert Musil
146,The Sleepwalkers,Hermann Broch
147,The Death of Virgil,Hermann Broch
148,Berlin Alexanderplatz,Alfred Döblin
149,All Quiet on the Western Front,Erich Maria Remarque
150,Three Comrades,Erich Maria Remarque
151,The Arch of Triumph,Erich Maria Remarque
